Rating,Review
5,"Could not fault our stay, the facilities are excellent, service perfect and lots of staff were always on hand even to just guide the way to breakfast of which there were three places to eat at. Four different restaurants to eat dinner at all were fab and did take away if required."
5,It was a great experience and services and all kind of facilities were state-of-the-art. The service team were very professional and helpful.  I am looking forward to visit again in next year meeting.  Cheers.
5,"GH is a true 5 star hotel. All staff from gardeners to management above expectations. Variety of food & entertainment options and, location on a beautiful beach meant we could bunker down and truly unwind. First time in Nusa Dua and so glad we chose GH!"
1,If you don’t like BUGS in your Bed do not come to the Grand Hyatt Bali. I don’t even want to rate this hotel at the moment.   It is 11 pm right now and approximately 1.5 hour ago my daughter layed down to sleep in her bed and found bugs on the sheet. First 2 and then 5 and then they were just everywhere. On  the ground on the floor on the bed. I am so disgusted and creeped out and feel like they are crawling in my hair.  We are also travelling with my mom who is almost 80 and when we asked to move rooms there were bugs in the room as well. I’m in one of the most beautiful places in the world and sadly I just want to go home.   Apparently these bugs are called sugar ants.   Note: I also have videos of the ants moving on the bed but I can’t seem to add videos 
4,"Grand Hyatt Bali is a hotel next to the beach. There are tennis court and spa center. I booked the spa service there and the people are very friendly there. Note that my room was close to the pond and if you don't switch on the air conditioner, which generates white noise, the sounds from birds and insects could affect your sleep."
4,"I had stayed in Grand Hyatt Nusa Dua Bali hotel 27 years ago, and until now It still can keep the service and ambiance very well. Grand Hyatt Nusa Dua Bali is managed very well, hoping you can keep the good things consistently in the future. "
5,"We had a great experience, the pools and the waterslides were appreciated by our kids. Landscape was impressive. A lot of trees, flowers, small lakes. Walking distance to Bali Collection. Breakfast might include more salads and fresh vegetables."
4,The place is very beautiful and well maintained. My only qualm is that the exhaust of toilet was not working properly. I raised a complaint but nothing happened. Except that everything was great. Staff was very supportive. 
5,"Service overall was superb and were given a generous room upgrade without asking. The room was spacious, clean and well-designed. It was an older design but perfect for its use and much bigger than similarly priced more modern rooms. The club room was fantastic, food and drink very good, only a little more choice at breakfast would have made it perfect. The grounds are huge and beautiful, pool variety amazing and the service there was some of the fastest I have experienced. Food and drink was good, however, we felt the Tempanyaki was only average and a little disappointing. The Italian restaurant and bar above was great though.  Our experience was a great one and excellent value compared to other higher-end hotels in Bali. I would recommend it highly and we will return."
5,We had such a brilliant stay at the Grand Hyatt. The staff were exceptional and we could not fault them in any way. They were so helpful and friendly and nothing was too much trouble. The resort is beautiful and very well maintained. It is a large resort and enabled adults to get away from the main children's play area if you stayed in the Club Rooms which is highly recommended. There were plenty of beach chairs both around the pools and on the beach. The food was great and there were a lot of choices. We actually only left the hotel once as we did not want to leave it as everything was provided. The Grand Club was worth the additional expense for drinks during the day and cocktails and canapes from 5-7pm each day. I could not recommend this hotel enough and will definitely…
4,"I had stayed in Grand Hyatt Nusa Dua Bali hotel 27 years ago, and until now It still can keep the service and ambiance very well. Grand Hyatt Nusa Dua Bali is managed very well, hoping you can keep the good things consistently in the future. "
5,"We had a great experience, the pools and the waterslides were appreciated by our kids. Landscape was impressive. A lot of trees, flowers, small lakes. Walking distance to Bali Collection. Breakfast might include more salads and fresh vegetables."
4,The place is very beautiful and well maintained. My only qualm is that the exhaust of toilet was not working properly. I raised a complaint but nothing happened. Except that everything was great. Staff was very supportive. 
5,"Service overall was superb and were given a generous room upgrade without asking. The room was spacious, clean and well-designed. It was an older design but perfect for its use and much bigger than similarly priced more modern rooms. The club room was fantastic, food and drink very good, only a little more choice at breakfast would have made it perfect. The grounds are huge and beautiful, pool variety amazing and the service there was some of the fastest I have experienced. Food and drink was good, however, we felt the Tempanyaki was only average and a little disappointing. The Italian restaurant and bar above was great though.  Our experience was a great one and excellent value compared to other higher-end hotels in Bali. I would recommend it highly and we will return."
5,We had such a brilliant stay at the Grand Hyatt. The staff were exceptional and we could not fault them in any way. They were so helpful and friendly and nothing was too much trouble. The resort is beautiful and very well maintained. It is a large resort and enabled adults to get away from the main children's play area if you stayed in the Club Rooms which is highly recommended. There were plenty of beach chairs both around the pools and on the beach. The food was great and there were a lot of choices. We actually only left the hotel once as we did not want to leave it as everything was provided. The Grand Club was worth the additional expense for drinks during the day and cocktails and canapes from 5-7pm each day. I could not recommend this hotel enough and will definitely…
5,"The truest reflection of Balinese culture in a 5 star hotel. This second stay with my family from Australia, to celebrate the birthday weekend for my husband. This time, we stayed at Belibis Villa. It is a front beach villa, that is fully equiped with large living room, a big dining table, an office space, many daybeds (inside and on the veranda) and super spacious veranda with a green big tree, 2 sun loungers and beautiful, highly maintained garden.  This villa would be beautiful choice to stay if you are with your family with kids, the place is safe and it gives you a direct access to go to the beach, and the main pools are just 5 steps away.  What I like about this villa (and Grand Hyatt Nusa Dua) in overall is their interior design: they maintained the standard of a 5 star…"
3,"Overall it was a great experience, and good room if you travel with kids. Food options are great. Walking distance to shops.  Only bad thing is inconvenient check out rush. Even you already requested late 1pm check out, they will still call your room at 11am, and room service still knocked on your door 11.40.  Dont bother ask for extended halfday. Even you are willing to pay for half day, one of the receptionist told us please FIND OTHER HOTEL. How would you push your business to deiffrent hotel? "
2,"Be prepared to walk for at least 10 minutes to get from your room to anywhere. Check-in process is painfully long. Took over an hour to get 2 small buckets if ice delivered to our room & only 1 arrived. Pool shuts at 7pm. This was not a 5 star hotel experience. Do yourself a favour & spend your money somewhere else. We were booked in for 6 nights but ended up leaving after 3.  We moved to the Hard Rock in Kuta, which was a much better experience. "
5,"The Grand Hyatt Bali hotel staff was very talented, understanding, prompt in services, polite, humble, smiling, cheerful, friendly, co-operative and efficient.  I am once again very thankful to Ms. Khisbi Azizah (Duty Manager) for her outstanding efforts and prompt assistance.   Best Regards ."
4,Another great stay at the Grand Hyatt Bali with the best beach of Nusa Dua and the landscapes and the pools of the hotel. But the rooms are looking really tired and worn out and  in dire need of a total refresh and renovation.   The stay was made special with the treatments and service of Pak Sutrisna and Ibu Suarni from the Grand Club Lounge who tirelessly serve the guests at the lounge and still keeping the guests drinks refilled ! Hats off to the energy these two provide to the Grand Club lounge and all the guests. They go the extra mile and requested the kitchen to prepare the Balinese sambal matah when they heard that we liked it ! Special commendations for these 2 staff
5,"The truest reflection of Balinese culture in a 5 star hotel. This second stay with my family from Australia, to celebrate the birthday weekend for my husband. This time, we stayed at Belibis Villa. It is a front beach villa, that is fully equiped with large living room, a big dining table, an office space, many daybeds (inside and on the veranda) and super spacious veranda with a green big tree, 2 sun loungers and beautiful, highly maintained garden.  This villa would be beautiful choice to stay if you are with your family with kids, the place is safe and it gives you a direct access to go to the beach, and the main pools are just 5 steps away.  What I like about this villa (and Grand Hyatt Nusa Dua) in overall is their interior design: they maintained the standard of a 5 star…"
3,"Overall it was a great experience, and good room if you travel with kids. Food options are great. Walking distance to shops.  Only bad thing is inconvenient check out rush. Even you already requested late 1pm check out, they will still call your room at 11am, and room service still knocked on your door 11.40.  Dont bother ask for extended halfday. Even you are willing to pay for half day, one of the receptionist told us please FIND OTHER HOTEL. How would you push your business to deiffrent hotel? "
2,"Be prepared to walk for at least 10 minutes to get from your room to anywhere. Check-in process is painfully long. Took over an hour to get 2 small buckets if ice delivered to our room & only 1 arrived. Pool shuts at 7pm. This was not a 5 star hotel experience. Do yourself a favour & spend your money somewhere else. We were booked in for 6 nights but ended up leaving after 3.  We moved to the Hard Rock in Kuta, which was a much better experience. "
5,"The Grand Hyatt Bali hotel staff was very talented, understanding, prompt in services, polite, humble, smiling, cheerful, friendly, co-operative and efficient.  I am once again very thankful to Ms. Khisbi Azizah (Duty Manager) for her outstanding efforts and prompt assistance.   Best Regards ."
4,Another great stay at the Grand Hyatt Bali with the best beach of Nusa Dua and the landscapes and the pools of the hotel. But the rooms are looking really tired and worn out and  in dire need of a total refresh and renovation.   The stay was made special with the treatments and service of Pak Sutrisna and Ibu Suarni from the Grand Club Lounge who tirelessly serve the guests at the lounge and still keeping the guests drinks refilled ! Hats off to the energy these two provide to the Grand Club lounge and all the guests. They go the extra mile and requested the kitchen to prepare the Balinese sambal matah when they heard that we liked it ! Special commendations for these 2 staff
4,"This is the perfect location if you want to get away and relax. The resort is located in the resort area where only visitors are at the beach. The resort looked really nice and clean. I must say,  our room did seem a little outdated and our bed was too firm for our liking.   Aside from that,  the staff was amazing!   "
5,"Fabulous hotel, everything we needed and more. Staff were exceptional and nothing was too much trouble. Highly recommend the Grand Club booking as the extras you get are worth the little extra .Please use the safe in your room . We did and had no problems. "
3,"Overall Condition and the services from room to lobby as too far to work and limited or do not know how the service is made.  No short briefing for first time guest, probably need to ask this, so receptionist could explain more about the hotel, location, direction and how many parts/areas, how to go there, etc.  "
4,"always being back to this place again and again, the maintenance of the garden are very good, the wide location of the Grand Hyatt Bali Nusa Dua without making tired to wonder around, so much to see and explore, although it's quite an old building but still make me feel always at home"
5,"  Nothing was a problem , old school Hospitality. Just a pity so many kids! We bought a package holiday for the first time  Extraordinary value, we will definitely do it again.  Nusa Dua is the only place to stay in Bali."
4,"This is the perfect location if you want to get away and relax. The resort is located in the resort area where only visitors are at the beach. The resort looked really nice and clean. I must say,  our room did seem a little outdated and our bed was too firm for our liking.   Aside from that,  the staff was amazing!   "
5,"Fabulous hotel, everything we needed and more. Staff were exceptional and nothing was too much trouble. Highly recommend the Grand Club booking as the extras you get are worth the little extra .Please use the safe in your room . We did and had no problems. "
3,"Overall Condition and the services from room to lobby as too far to work and limited or do not know how the service is made.  No short briefing for first time guest, probably need to ask this, so receptionist could explain more about the hotel, location, direction and how many parts/areas, how to go there, etc.  "
4,"always being back to this place again and again, the maintenance of the garden are very good, the wide location of the Grand Hyatt Bali Nusa Dua without making tired to wonder around, so much to see and explore, although it's quite an old building but still make me feel always at home"
5,"  Nothing was a problem , old school Hospitality. Just a pity so many kids! We bought a package holiday for the first time  Extraordinary value, we will definitely do it again.  Nusa Dua is the only place to stay in Bali."
5,"Such a beautiful, luxurious resort. Had the most relaxing time with my family & the staff were incredible, they were so accommodating with every request met with a smile.   I highly recommend this resort for anyone wanting a stunning beachside escape."
4,"This was my second visit to Grand Hyatt Nusa Dua.  The first one being about 10 years ago (as a couple).   As soon as I arrived, I noticed a few things that indicated to me that the resort had gone to next level capacity function, and the check in experience wasn't as personable as it was previously.   No welcome drink, but you are directed to a refreshment station if you want one.   There were rope bollards to organize the queue to check in.   I imagine these things are needed due to the high volume of people they have staying there, but it made me a tad deflated that the resort was catering to the masses now. I had booked a Club King Ocean View room and was given a room on 4th floor as I had requested, if was at all possible.  The view from my room was just amazing, could not…"
5,"Beautiful hotel with very big and perfectly maintained gardens and pools full of beautiful Balinese design features. Several dining options, we recommend the traditional show and dinning at Pasar Senggol (local performers of high level). The beach is beautiful and big (swimming is possible during high tides: sand and clear water). The staff is amazing (attentive, kind): Mrs. Suarni at the grand club lounge and Ms Sari at the breakfast in the Salsa Verde are particularly nice. We would like to thank Mr Morissher Loduwijk, the manager for effective reaction to our minor complaints. We had perfect two weeks vacations, and spent all 14 days on the hotel's grounds as it is a lot of thing to do (kids activities, water sports, sport club with sauna and private pool, club lounge and…"
5,"The pool is very interesting, specially for children. The garden and the pond is beautiful, with the duck are swimming around, so interesting. Have the traditional balinese dance perfomance too on certain day."
4,"The Grand Hyatt Bali is definitely a show stopper. When you arrive and the hotel is above the ocean and looking down upon water gardens and open air beautiful spot, it really is a sight to see. The whole area was a lot more peaceful than other areas of Bali. It was a real oasis. The property is huge. It's really a family resort. It's dated, but the grounds are absolutely spectacular. We had a club level room so we spent a lot of time in the lounge. The employees there were always so friendly and hospitable. The ocean is possibly not the best for swimming, but it's absolutely beautiful. You can go to the pools and just stroll out to the sea. It probably wasn't super packed when we were there cause we never had to fight for a lounge chair. They always had ample nice beach towels.…"
5,"Such a beautiful, luxurious resort. Had the most relaxing time with my family & the staff were incredible, they were so accommodating with every request met with a smile.   I highly recommend this resort for anyone wanting a stunning beachside escape."
4,"This was my second visit to Grand Hyatt Nusa Dua.  The first one being about 10 years ago (as a couple).   As soon as I arrived, I noticed a few things that indicated to me that the resort had gone to next level capacity function, and the check in experience wasn't as personable as it was previously.   No welcome drink, but you are directed to a refreshment station if you want one.   There were rope bollards to organize the queue to check in.   I imagine these things are needed due to the high volume of people they have staying there, but it made me a tad deflated that the resort was catering to the masses now. I had booked a Club King Ocean View room and was given a room on 4th floor as I had requested, if was at all possible.  The view from my room was just amazing, could not…"
5,"Beautiful hotel with very big and perfectly maintained gardens and pools full of beautiful Balinese design features. Several dining options, we recommend the traditional show and dinning at Pasar Senggol (local performers of high level). The beach is beautiful and big (swimming is possible during high tides: sand and clear water). The staff is amazing (attentive, kind): Mrs. Suarni at the grand club lounge and Ms Sari at the breakfast in the Salsa Verde are particularly nice. We would like to thank Mr Morissher Loduwijk, the manager for effective reaction to our minor complaints. We had perfect two weeks vacations, and spent all 14 days on the hotel's grounds as it is a lot of thing to do (kids activities, water sports, sport club with sauna and private pool, club lounge and…"
5,"The pool is very interesting, specially for children. The garden and the pond is beautiful, with the duck are swimming around, so interesting. Have the traditional balinese dance perfomance too on certain day."
4,"The Grand Hyatt Bali is definitely a show stopper. When you arrive and the hotel is above the ocean and looking down upon water gardens and open air beautiful spot, it really is a sight to see. The whole area was a lot more peaceful than other areas of Bali. It was a real oasis. The property is huge. It's really a family resort. It's dated, but the grounds are absolutely spectacular. We had a club level room so we spent a lot of time in the lounge. The employees there were always so friendly and hospitable. The ocean is possibly not the best for swimming, but it's absolutely beautiful. You can go to the pools and just stroll out to the sea. It probably wasn't super packed when we were there cause we never had to fight for a lounge chair. They always had ample nice beach towels.…"
5,"We loved everything about Grand Hyatt Bali! The staff were so lovely, hotel was amazing. Would definitely stay here again. Thank you for making our holiday a beautiful memory. We can’t wait to come back."
3,"Great service, Great staff, breakfast awesome, gardens and pool area beautiful. Unfortunately hotel in need of renovation , room old, basic facilities in need of upgrade. Not 5 star as suggested. Whilst great for young families, difficult to relax around the pool  as it can get noisy. "
5,"Beautiful place to stay, friendly environment, felt safe… pools were great…cocktails were fabulous…staff were happy to assist with the guests…beaches was lovely too … also the food was delicious 😋😊😘"
5,From the time we stepped into the room we felt at ease and relaxing. The beach and amenities is just great and it is like a wrold on its own! You could stay here and not leave the resort at all! The shops at Bali collection was also handy and close. 
4,"Couple of things. The hotel is massive. If you are looking for a more intimate setting, this isnt for you. Also we found the marble shower floor very slippery. Asked for a shower mat but they didnt have any. Had to use a towel to stand on in the shower. "
5,"We loved everything about Grand Hyatt Bali! The staff were so lovely, hotel was amazing. Would definitely stay here again. Thank you for making our holiday a beautiful memory. We can’t wait to come back."
3,"Great service, Great staff, breakfast awesome, gardens and pool area beautiful. Unfortunately hotel in need of renovation , room old, basic facilities in need of upgrade. Not 5 star as suggested. Whilst great for young families, difficult to relax around the pool  as it can get noisy. "
5,"Beautiful place to stay, friendly environment, felt safe… pools were great…cocktails were fabulous…staff were happy to assist with the guests…beaches was lovely too … also the food was delicious 😋😊😘"
5,From the time we stepped into the room we felt at ease and relaxing. The beach and amenities is just great and it is like a wrold on its own! You could stay here and not leave the resort at all! The shops at Bali collection was also handy and close. 
4,"Couple of things. The hotel is massive. If you are looking for a more intimate setting, this isnt for you. Also we found the marble shower floor very slippery. Asked for a shower mat but they didnt have any. Had to use a towel to stand on in the shower. "
5,"My first trip to Bali. Chose 2 nights Hyatt after a few research online. Also, due to its stunning beach. I informed the GR team about our 10th year anniversary and they offered very nice cake and flowers with a greeting's card upon check-in. Appreciated for that. They also suggested us to make a nice dinner to celebrate at 1 of their outlets which also a good idea. When arriving, I was really impressed with the lobby ambiance, very exotic Balinese with open air, feeling very relaxing after a long flight. Entering the room, big big surprise that they have a so-called sofa bed but a really big bed perfectly fits in the corner of the room. It's the biggest and nicest sofa bed that I've seen, really can accommodated comfortably 1 adult, perfect for my kids. My room type is only a…"
5,"Perfect holiday destination for a family. The rooms are large as are the bathrooms. The facilities are great, but most importantly it is very safe for kids. Direct beach access, easy to get around, there is a mall and hospital down the road."
5,The hotel is so family friendly.  Buffet breakfast - all kinds of food - catering from kids to adults.  The pools really catered for families and were always clean.  The friendliness and helpfulness of all the staff. Closeness of the beach.  Lots of places to take a walk.  Feeling safe in this hotel and surrounds.  Couldn't ask for a better stay.  
4,Grand Hyatt is a great place to ich amazing scenery around the pool and beach area.  It’s extremely big resort and can be very confusing to get around the area.  They are generally very accommodating and most of the crew are great.  Breakfast is a bit boring some of the places
5,"service excellnece, room clean, toilet room good, housekeeping helpfull, refrigerator not cold, breakfast far from rooms but the food is good, Lack of directions sometimes someone can get lost, overall Good"
5,"My first trip to Bali. Chose 2 nights Hyatt after a few research online. Also, due to its stunning beach. I informed the GR team about our 10th year anniversary and they offered very nice cake and flowers with a greeting's card upon check-in. Appreciated for that. They also suggested us to make a nice dinner to celebrate at 1 of their outlets which also a good idea. When arriving, I was really impressed with the lobby ambiance, very exotic Balinese with open air, feeling very relaxing after a long flight. Entering the room, big big surprise that they have a so-called sofa bed but a really big bed perfectly fits in the corner of the room. It's the biggest and nicest sofa bed that I've seen, really can accommodated comfortably 1 adult, perfect for my kids. My room type is only a…"
5,"Perfect holiday destination for a family. The rooms are large as are the bathrooms. The facilities are great, but most importantly it is very safe for kids. Direct beach access, easy to get around, there is a mall and hospital down the road."
5,The hotel is so family friendly.  Buffet breakfast - all kinds of food - catering from kids to adults.  The pools really catered for families and were always clean.  The friendliness and helpfulness of all the staff. Closeness of the beach.  Lots of places to take a walk.  Feeling safe in this hotel and surrounds.  Couldn't ask for a better stay.  
4,Grand Hyatt is a great place to ich amazing scenery around the pool and beach area.  It’s extremely big resort and can be very confusing to get around the area.  They are generally very accommodating and most of the crew are great.  Breakfast is a bit boring some of the places
5,"service excellnece, room clean, toilet room good, housekeeping helpfull, refrigerator not cold, breakfast far from rooms but the food is good, Lack of directions sometimes someone can get lost, overall Good"
4,"It's nice place for conference, exhibition and bussiness meeting. Good service, clean enviroment, help full staff, not far from the beach,  complete facility including mushalla for moslem. Over all it's good place for vacation, and bussiness purpose. It's recommended.."
5,"We arrived to this beautiful hotel and the requests we had asked for were met. The staff at the reception desk were so lovely and helpful. We arrived to our room. The room was a little dated but was spacious and clean and well stocked with coffee and tea. Would have liked some water and milk in the fridge on arrival but that is only a small negative. The hotel grounds are beautifully kept, there are plenty of restaurants within the hotel to choose from. The pool areas are absolutely beautiful. All the staff from the reception staff, cleaners, pool attendants, gardeners, restaurant staff were outstanding. Their friendly manner and service is one of the best we have experienced. A special mention to Salsa Verde restaurant. The food was delicious and again, the staff were…"
3,"So I stayed at this same property over 15 years ago and it has not changed much. The infrastructure is dated but clean and functional. The hotel is focused on families with kids, so basically not the ideal tranquil Bali experience we were looking for. Our check in process was delayed, which was painful after our long flight in. Pest control needs to go up a notch we had a few instances of cockroaches in out room. Even though Irfaan their guest experience manager - comp'd our transfer to our seminyak hotel, it couldn't make up for the bugs. The breakfast and Japanese restaurant were good - their other food is mediocre. Our main issue was with the BEACH- it's way too rocky and absolutely no fun. The sunrise was the only saving grace. Most staff is friendly and accommodating. Would…"
4,"The hotel is good for vacation and healing time ...with or without family...  There is quiet place, good breakfast , nice pool and friendly employee..  The hotel near the beach' but cannot swim on this area.. but is fine ... I LIKE IT  Thank You FOR Hyatt Mgt. "
5,"This resort is full of surprises and no need to leave the grounds. It just ticks all the boxes for a good stay. We loved our room, great food, many restaurants, pools and awesome gardens. All staff were just so welcoming and simply the best.  "
4,"It's nice place for conference, exhibition and bussiness meeting. Good service, clean enviroment, help full staff, not far from the beach,  complete facility including mushalla for moslem. Over all it's good place for vacation, and bussiness purpose. It's recommended.."
5,"We arrived to this beautiful hotel and the requests we had asked for were met. The staff at the reception desk were so lovely and helpful. We arrived to our room. The room was a little dated but was spacious and clean and well stocked with coffee and tea. Would have liked some water and milk in the fridge on arrival but that is only a small negative. The hotel grounds are beautifully kept, there are plenty of restaurants within the hotel to choose from. The pool areas are absolutely beautiful. All the staff from the reception staff, cleaners, pool attendants, gardeners, restaurant staff were outstanding. Their friendly manner and service is one of the best we have experienced. A special mention to Salsa Verde restaurant. The food was delicious and again, the staff were…"
3,"So I stayed at this same property over 15 years ago and it has not changed much. The infrastructure is dated but clean and functional. The hotel is focused on families with kids, so basically not the ideal tranquil Bali experience we were looking for. Our check in process was delayed, which was painful after our long flight in. Pest control needs to go up a notch we had a few instances of cockroaches in out room. Even though Irfaan their guest experience manager - comp'd our transfer to our seminyak hotel, it couldn't make up for the bugs. The breakfast and Japanese restaurant were good - their other food is mediocre. Our main issue was with the BEACH- it's way too rocky and absolutely no fun. The sunrise was the only saving grace. Most staff is friendly and accommodating. Would…"
4,"The hotel is good for vacation and healing time ...with or without family...  There is quiet place, good breakfast , nice pool and friendly employee..  The hotel near the beach' but cannot swim on this area.. but is fine ... I LIKE IT  Thank You FOR Hyatt Mgt. "
5,"This resort is full of surprises and no need to leave the grounds. It just ticks all the boxes for a good stay. We loved our room, great food, many restaurants, pools and awesome gardens. All staff were just so welcoming and simply the best.  "
5,"My husband and I recently had a perfect week staying at the Grand Hyatt Bali. It was just what we needed  to relax and unwind. The staff are extremely friendly and helpful, the gardens are a feast for the eyes... Stunningly beautiful, colourful and manicured. We had a lovely, big, ocean facing room, it was super comfortable and quiet being on the top floor.  We also had access to the grand club lounge where we enjoyed beautiful breakfasts and afternoon drinks and very substantial canapes. If there is one small thing that we felt could be improved it's that it would be nice to make one of the several pools child free just to give couples and singles the chance to have a peaceful dip and time around the pool.  Overall we had an amazing stay and will definitely return. "
5,"Hotel gave great experiences During stay there. Really enjoy for staycation especially for family. Unfortunately, I wan't with my family. But, I will return with my family.  Breakfast has many choices. Great"
5,"Very impressed with the layout of the hotel complex. Facilities are well maintained and very clean. Staffs are highly responsive and helpful in all requests. There are different restaurants with in the hotel complex, very choices for food"
5,"Fantastic resort with amazing facilities and staff. The grounds are beautifully kept and pools were the highlight of our trip. Great location, close to the beach and shopping complex across the road. The hotel is very big, therefore the rooms felt very far away from the pools and restaurants which meant allot of walking with small children. Best family holiday we have ever been on. "
4,This is a huge hotel and one can easily get lost in the first visit. The service is very good and there are also many activities. The room is spacious and the view is nice but it is a bit dated and so the sound proof is not too good. There are three restaurants for breakfast to choose from and several swimming pools too.
5,"My husband and I recently had a perfect week staying at the Grand Hyatt Bali. It was just what we needed  to relax and unwind. The staff are extremely friendly and helpful, the gardens are a feast for the eyes... Stunningly beautiful, colourful and manicured. We had a lovely, big, ocean facing room, it was super comfortable and quiet being on the top floor.  We also had access to the grand club lounge where we enjoyed beautiful breakfasts and afternoon drinks and very substantial canapes. If there is one small thing that we felt could be improved it's that it would be nice to make one of the several pools child free just to give couples and singles the chance to have a peaceful dip and time around the pool.  Overall we had an amazing stay and will definitely return. "
5,"Hotel gave great experiences During stay there. Really enjoy for staycation especially for family. Unfortunately, I wan't with my family. But, I will return with my family.  Breakfast has many choices. Great"
5,"Very impressed with the layout of the hotel complex. Facilities are well maintained and very clean. Staffs are highly responsive and helpful in all requests. There are different restaurants with in the hotel complex, very choices for food"
5,"Fantastic resort with amazing facilities and staff. The grounds are beautifully kept and pools were the highlight of our trip. Great location, close to the beach and shopping complex across the road. The hotel is very big, therefore the rooms felt very far away from the pools and restaurants which meant allot of walking with small children. Best family holiday we have ever been on. "
4,This is a huge hotel and one can easily get lost in the first visit. The service is very good and there are also many activities. The room is spacious and the view is nice but it is a bit dated and so the sound proof is not too good. There are three restaurants for breakfast to choose from and several swimming pools too.
5,"I've been travelling to Bali my whole life ever since I was a little kid. This is the first time I've stayed at the Grand Hyatt and I have to say it is one of the best hotels I've stayed at in Bali. I'm definitely staying here again when I'm back in Nusa Dua. The staff at the hotel, the food, the surrounding beaches, and the traditional authentic and detailed touches to the decor and architecture makes this place such a rich experience. My husband and I haven't stopped talking about bringing our parents and wider family to stay here so they can share our wonderful experience as it caters for all different age demographics. And lastly, thank you to the staff at the Grand Club Lounge for your hospitality. We always looked forward to your breakfast and cocktail evenings. You made…"
5,"Excellent. Enjoying the spa, food, beach and pool and always love the green and earth concept offered by Grand Hyatt!.  Pasar Senggol is always be my fave!. They offered various kind of traditional foods, and mini market that sell traditional handmade jewelry is the fave place for my daughter."
5,"We Loved our stay at the Grand Hyatt. I took my Mum and Sister and we all loved our stay. The hotel, the rooms, the staff, the food and the amenities…. 10/10. We can’t wait to head back to the Grand Hyatt for our next Bali adventure "
5,"We booked a Luxury Escapes package and the whole experience was awesome. The hotel has all you need, rooms are well maintained and cleaning service was a good standard. It’s the team there that make it though, so friendly and helpful it just makes you feel so cared for."
5,"Beautiful hotel grounds, the pool areas were spectacular. Wonderful service from all Staff we dealt with. Breakfasts were easy, so many food choices, wonderful selections. Cocktails were lovely...  A great stay for family with 2 children. "
5,"I've been travelling to Bali my whole life ever since I was a little kid. This is the first time I've stayed at the Grand Hyatt and I have to say it is one of the best hotels I've stayed at in Bali. I'm definitely staying here again when I'm back in Nusa Dua. The staff at the hotel, the food, the surrounding beaches, and the traditional authentic and detailed touches to the decor and architecture makes this place such a rich experience. My husband and I haven't stopped talking about bringing our parents and wider family to stay here so they can share our wonderful experience as it caters for all different age demographics. And lastly, thank you to the staff at the Grand Club Lounge for your hospitality. We always looked forward to your breakfast and cocktail evenings. You made…"
